Author,Song Name,File Name,File Path
Nochiketa,নীলাঞ্জনা,song17_নীলাঞ্জনা.docx,Data/Nochiketa/song17_নীলাঞ্জনা.docx
Nochiketa,ও ডাক্তার,song7_ও ডাক্তার.docx,Data/Nochiketa/song7_ও ডাক্তার.docx
Nochiketa,সরকারি কর্মচারী,song8_সরকারি কর্মচারী.docx,Data/Nochiketa/song8_সরকারি কর্মচারী.docx
Nochiketa,সারে যাঁহা সে আচ্ছা,song11_সারে যাঁহা সে আচ্ছা.docx,Data/Nochiketa/song11_সারে যাঁহা সে আচ্ছা.docx
Nochiketa,বারো টাকা,song4_বারো টাকা.docx,Data/Nochiketa/song4_বারো টাকা.docx
Nochiketa,আজ থেকে এক হাজার ( রাজশ্রী – ৪ ),song6_আজ থেকে এক হাজার ( রাজশ্রী – ৪ ).docx,Data/Nochiketa/song6_আজ থেকে এক হাজার ( রাজশ্রী – ৪ ).docx
Nochiketa,আমার ইচ্ছে করে,song1_আমার ইচ্ছে করে.docx,Data/Nochiketa/song1_আমার ইচ্ছে করে.docx
Nochiketa,"আমি পারবোনা,পারবোনা রাখতে প্রেমের মান","song3_আমি পারবোনা,পারবোনা রাখতে প্রেমের মান.docx","Data/Nochiketa/song3_আমি পারবোনা,পারবোনা রাখতে প্রেমের মান.docx"
Nochiketa,পাগলা জগাই,song5_পাগলা জগাই.docx,Data/Nochiketa/song5_পাগলা জগাই.docx
Nochiketa,তুমি আসবে বলেই আকাশ,song14_তুমি আসবে বলেই আকাশ.docx,Data/Nochiketa/song14_তুমি আসবে বলেই আকাশ.docx
Nochiketa,চোর,song10_চোর.docx,Data/Nochiketa/song10_চোর.docx
Nochiketa,হঠাৎ বৃষ্টি,song12_হঠাৎ বৃষ্টি.docx,Data/Nochiketa/song12_হঠাৎ বৃষ্টি.docx
Nochiketa,তুমি কে,song2_তুমি কে.docx,Data/Nochiketa/song2_তুমি কে.docx
Meser Mondol,সুধাংশু,song2_সুধাংশু.docx,Data/Meser Mondol/song2_সুধাংশু.docx
Meser Mondol,শরাবে শরাব,song5_শরাবে শরাব.docx,Data/Meser Mondol/song5_শরাবে শরাব.docx
Meser Mondol,এমনও নিশিরাতে,song1_এমনও নিশিরাতে.docx,Data/Meser Mondol/song1_এমনও নিশিরাতে.docx
Meser Mondol,জাত যায়,song3_জাত যায়.docx,Data/Meser Mondol/song3_জাত যায়.docx
Meser Mondol,কথা,song4_কথা.docx,Data/Meser Mondol/song4_কথা.docx
Adnan Babu,কথা ছিল,song1_কথা ছিল.docx,Data/Adnan Babu/song1_কথা ছিল.docx
Kazi Ajij Ahmed,এ আধার কখনো যাবে না মুছে,song2_এ আধার কখনো যাবে না মুছে.docx,Data/Kazi Ajij Ahmed/song2_এ আধার কখনো যাবে না মুছে.docx
Kazi Ajij Ahmed,দূরে সরে গিয়ে শুধু ব্যাথা দিয়ে,song1_দূরে সরে গিয়ে শুধু ব্যাথা দিয়ে.docx,Data/Kazi Ajij Ahmed/song1_দূরে সরে গিয়ে শুধু ব্যাথা দিয়ে.docx
Aladin,মেয়ে,song1_মেয়ে.docx,Data/Aladin/song1_মেয়ে.docx
Aladin,চেতনার অনুষ্ঠানে,song2_চেতনার অনুষ্ঠানে.docx,Data/Aladin/song2_চেতনার অনুষ্ঠানে.docx
Fojol A khoda,ডোরা কাটা দাগ দেখে বাঘ চেনা যায়,song4_ডোরা কাটা দাগ দেখে বাঘ চেনা যায়.docx,Data/Fojol A khoda/song4_ডোরা কাটা দাগ দেখে বাঘ চেনা যায়.docx
Fojol A khoda,ভালবাসার মূল্য কত,song5_ভালবাসার মূল্য কত.docx,Data/Fojol A khoda/song5_ভালবাসার মূল্য কত.docx
Fojol A khoda,মন রেখেছি আমি,song3_মন রেখেছি আমি.docx,Data/Fojol A khoda/song3_মন রেখেছি আমি.docx
Fojol A khoda,যে দেশেতে শাপলা শালুক ঝিলের জলে ভাসে,song2_যে দেশেতে শাপলা শালুক ঝিলের জলে ভাসে.docx,Data/Fojol A khoda/song2_যে দেশেতে শাপলা শালুক ঝিলের জলে ভাসে.docx
Fojol A khoda,সালাম সালাম হাজার সালাম,song6_সালাম সালাম হাজার সালাম.docx,Data/Fojol A khoda/song6_সালাম সালাম হাজার সালাম.docx
Fojol A khoda,বন্ধুর প্রেমে হইলাম পাগল,song1_বন্ধুর প্রেমে হইলাম পাগল.docx,Data/Fojol A khoda/song1_বন্ধুর প্রেমে হইলাম পাগল.docx
Tuhin,পরিচয়,song1_পরিচয়.docx,Data/Tuhin/song1_পরিচয়.docx
Tuhin,সূর্য,song2_সূর্য.docx,Data/Tuhin/song2_সূর্য.docx
Shafiq Tuhin,ভালোবাসার সবটুকু রঙ,song8_ভালোবাসার সবটুকু রঙ.docx,Data/Shafiq Tuhin/song8_ভালোবাসার সবটুকু রঙ.docx
Shafiq Tuhin,অন্তরা,song3_অন্তরা.docx,Data/Shafiq Tuhin/song3_অন্তরা.docx
Shafiq Tuhin,তুমি জানবে না কোনদিন,song6_তুমি জানবে না কোনদিন.docx,Data/Shafiq Tuhin/song6_তুমি জানবে না কোনদিন.docx
Shafiq Tuhin,ভুলে গেছে সে সুরঞ্জনা,song2_ভুলে গেছে সে সুরঞ্জনা.docx,Data/Shafiq Tuhin/song2_ভুলে গেছে সে সুরঞ্জনা.docx
Shafiq Tuhin,সোনা যাদু,song11_সোনা যাদু.docx,Data/Shafiq Tuhin/song11_সোনা যাদু.docx
Shafiq Tuhin,কোন একদিন,song5_কোন একদিন.docx,Data/Shafiq Tuhin/song5_কোন একদিন.docx
Shafiq Tuhin,কোন জায়গা নাই,song9_কোন জায়গা নাই.docx,Data/Shafiq Tuhin/song9_কোন জায়গা নাই.docx
Shafiq Tuhin,এর বেশী ভালবাসা যায় না,song10_এর বেশী ভালবাসা যায় না.docx,Data/Shafiq Tuhin/song10_এর বেশী ভালবাসা যায় না.docx
Shafiq Tuhin,কেমন আছো নতুন ঠিকানায়,song4_কেমন আছো নতুন ঠিকানায়.docx,Data/Shafiq Tuhin/song4_কেমন আছো নতুন ঠিকানায়.docx
Shafiq Tuhin,মিথ্যে নয়,song1_মিথ্যে নয়.docx,Data/Shafiq Tuhin/song1_মিথ্যে নয়.docx
Shafiq Tuhin,না বলা ভালবাসা,song7_না বলা ভালবাসা.docx,Data/Shafiq Tuhin/song7_না বলা ভালবাসা.docx
Mohini Chowdhury,হায় কি যে করি এ মন নিয়া,song3_হায় কি যে করি এ মন নিয়া.docx,Data/Mohini Chowdhury/song3_হায় কি যে করি এ মন নিয়া.docx
Mohini Chowdhury,পৃথিবী আমারে চায়,song2_পৃথিবী আমারে চায়.docx,Data/Mohini Chowdhury/song2_পৃথিবী আমারে চায়.docx
Mohini Chowdhury,এনেছি আমার শত জনমের প্রেম,song1_এনেছি আমার শত জনমের প্রেম.docx,Data/Mohini Chowdhury/song1_এনেছি আমার শত জনমের প্রেম.docx
